,Mafia,Citizen,Police,Doctor,Mafia/Citizen,Mafia Win Rate
0,1,6,2,1,16.6666667,0.6497000
1,1,7,2,1,14.2857143,0.6577000
2,1,8,2,1,12.5000000,0.6272000
3,1,8,3,1,12.5000000,0.6740000
4,1,8,3,2,12.5000000,0.6675000
5,1,9,2,1,11.1111111,0.6282000
6,1,9,3,1,11.1111111,0.6780000
7,1,9,3,2,11.1111111,0.6839000
8,1,10,2,1,10.0000000,0.5975000
9,1,10,3,1,10.0000000,0.6546000
10,1,10,3,2,10.0000000,0.6479000
11,1,10,4,1,10.0000000,0.6938000
12,1,10,4,2,10.0000000,0.6962000
13,1,10,4,3,10.0000000,0.6856000
14,1,11,2,1,9.0909091,0.6107000
15,1,11,3,1,9.0909091,0.6497000
16,1,11,3,2,9.0909091,0.6708000
17,1,11,4,1,9.0909091,0.6936000
18,1,11,4,2,9.0909091,0.6923000
19,1,11,4,3,9.0909091,0.6925000
20,1,12,2,1,8.3333333,0.5763000
21,1,12,3,1,8.3333333,0.6350000
22,1,12,3,2,8.3333333,0.6330000
23,1,12,4,1,8.3333333,0.6681000
24,1,12,4,2,8.3333333,0.6734000
25,1,12,4,3,8.3333333,0.6702000
26,1,12,5,1,8.3333333,0.7095000
27,1,12,5,2,8.3333333,0.6931000
28,1,12,5,3,8.3333333,0.7002000
29,1,12,5,4,8.3333333,0.7001000
30,1,13,2,1,7.6923077,0.5838000
31,1,13,3,1,7.6923077,0.6421000
32,1,13,3,2,7.6923077,0.6363000
33,1,13,4,1,7.6923077,0.6721000
34,1,13,4,2,7.6923077,0.6773000
35,1,13,4,3,7.6923077,0.6866000
36,1,13,5,1,7.6923077,0.7067000
37,1,13,5,2,7.6923077,0.7076000
38,1,13,5,3,7.6923077,0.6996000
39,1,13,5,4,7.6923077,0.7013000
40,1,14,2,1,7.1428571,0.5552000
41,1,14,3,1,7.1428571,0.6093000
42,1,14,3,2,7.1428571,0.6172000
43,1,14,4,1,7.1428571,0.6545000
44,1,14,4,2,7.1428571,0.6524000
45,1,14,4,3,7.1428571,0.6600000
46,1,14,5,1,7.1428571,0.6821000
47,1,14,5,2,7.1428571,0.6787000
48,1,14,5,3,7.1428571,0.6866000
49,1,14,5,4,7.1428571,0.6841000
50,1,14,6,1,7.1428571,0.7062000
51,1,14,6,2,7.1428571,0.7014000
52,1,14,6,3,7.1428571,0.7050000
53,1,14,6,4,7.1428571,0.7038000
54,1,14,6,5,7.1428571,0.7042000
55,1,15,2,1,6.6666667,0.5532000
56,1,15,3,1,6.6666667,0.6167000
57,1,15,3,2,6.6666667,0.6173000
58,1,15,4,1,6.6666667,0.6672000
59,1,15,4,2,6.6666667,0.6654000
60,1,15,4,3,6.6666667,0.6556000
61,1,15,5,1,6.6666667,0.6926000
62,1,15,5,2,6.6666667,0.6783000
63,1,15,5,3,6.6666667,0.6846000
64,1,15,5,4,6.6666667,0.6866000
65,1,15,6,1,6.6666667,0.7079000
66,1,15,6,2,6.6666667,0.7154000
67,1,15,6,3,6.6666667,0.7071000
68,1,15,6,4,6.6666667,0.7097000
69,1,15,6,5,6.6666667,0.7186000
70,1,16,2,1,6.2500000,0.5291000
71,1,16,3,1,6.2500000,0.5980000
72,1,16,3,2,6.2500000,0.5887000
73,1,16,4,1,6.2500000,0.6407000
74,1,16,4,2,6.2500000,0.6359000
75,1,16,4,3,6.2500000,0.6378000
76,1,16,5,1,6.2500000,0.6596000
77,1,16,5,2,6.2500000,0.6699000
78,1,16,5,3,6.2500000,0.6677000
79,1,16,5,4,6.2500000,0.6705000
80,1,16,6,1,6.2500000,0.6892000
81,1,16,6,2,6.2500000,0.6789000
82,1,16,6,3,6.2500000,0.6902000
83,1,16,6,4,6.2500000,0.6896000
84,1,16,6,5,6.2500000,0.6963000
85,1,16,7,1,6.2500000,0.7122000
86,1,16,7,2,6.2500000,0.7149000
87,1,16,7,3,6.2500000,0.7071000
88,1,16,7,4,6.2500000,0.7153000
89,1,16,7,5,6.2500000,0.7085000
90,1,16,7,6,6.2500000,0.7177000
91,1,17,2,1,5.8823529,0.5476000
92,1,17,3,1,5.8823529,0.5952000
93,1,17,3,2,5.8823529,0.5828000
94,1,17,4,1,5.8823529,0.6445000
95,1,17,4,2,5.8823529,0.6376000
96,1,17,4,3,5.8823529,0.6419000
97,1,17,5,1,5.8823529,0.6712000
98,1,17,5,2,5.8823529,0.6707000
99,1,17,5,3,5.8823529,0.6712000
100,1,17,5,4,5.8823529,0.6673000
101,1,17,6,1,5.8823529,0.7041000
102,1,17,6,2,5.8823529,0.6957000
103,1,17,6,3,5.8823529,0.7019000
104,1,17,6,4,5.8823529,0.7070000
105,1,17,6,5,5.8823529,0.6965000
106,1,17,7,1,5.8823529,0.7200000
107,1,17,7,2,5.8823529,0.7213000
108,1,17,7,3,5.8823529,0.7104000
109,1,17,7,4,5.8823529,0.7275000
110,1,17,7,5,5.8823529,0.7165000
111,1,17,7,6,5.8823529,0.7159000
112,1,18,2,1,5.5555556,0.5189000
113,1,18,3,1,5.5555556,0.5758000
114,1,18,3,2,5.5555556,0.5730000
115,1,18,4,1,5.5555556,0.6187000
116,1,18,4,2,5.5555556,0.6230000
117,1,18,4,3,5.5555556,0.6195000
118,1,18,5,1,5.5555556,0.6533000
119,1,18,5,2,5.5555556,0.6582000
120,1,18,5,3,5.5555556,0.6497000
121,1,18,5,4,5.5555556,0.6544000
122,1,18,6,1,5.5555556,0.6795000
123,1,18,6,2,5.5555556,0.6781000
124,1,18,6,3,5.5555556,0.6829000
125,1,18,6,4,5.5555556,0.6824000
126,1,18,6,5,5.5555556,0.6735000
127,1,18,7,1,5.5555556,0.6941000
128,1,18,7,2,5.5555556,0.6947000
129,1,18,7,3,5.5555556,0.6949000
130,1,18,7,4,5.5555556,0.6965000
131,1,18,7,5,5.5555556,0.7010000
132,1,18,7,6,5.5555556,0.7001000
133,1,18,8,1,5.5555556,0.7113000
134,1,18,8,2,5.5555556,0.7133000
135,1,18,8,3,5.5555556,0.7225000
136,1,18,8,4,5.5555556,0.7201000
137,1,18,8,5,5.5555556,0.7138000
138,1,18,8,6,5.5555556,0.7174000
139,1,18,8,7,5.5555556,0.7209000
140,1,19,2,1,5.2631579,0.5299000
141,1,19,3,1,5.2631579,0.5853000
142,1,19,3,2,5.2631579,0.5785000
143,1,19,4,1,5.2631579,0.6187000
144,1,19,4,2,5.2631579,0.6315000
145,1,19,4,3,5.2631579,0.6274000
146,1,19,5,1,5.2631579,0.6667000
147,1,19,5,2,5.2631579,0.6534000
148,1,19,5,3,5.2631579,0.6574000
149,1,19,5,4,5.2631579,0.6474000
150,1,19,6,1,5.2631579,0.6828000
151,1,19,6,2,5.2631579,0.6869000
152,1,19,6,3,5.2631579,0.6785000
153,1,19,6,4,5.2631579,0.6838000
154,1,19,6,5,5.2631579,0.6748000
155,1,19,7,1,5.2631579,0.7058000
156,1,19,7,2,5.2631579,0.7056000
157,1,19,7,3,5.2631579,0.7081000
158,1,19,7,4,5.2631579,0.6982000
159,1,19,7,5,5.2631579,0.7036000
160,1,19,7,6,5.2631579,0.7037000
161,1,19,8,1,5.2631579,0.7214000
162,1,19,8,2,5.2631579,0.7184000
163,1,19,8,3,5.2631579,0.7223000
164,1,19,8,4,5.2631579,0.7147000
165,1,19,8,5,5.2631579,0.7213000
166,1,19,8,6,5.2631579,0.7177000
167,1,19,8,7,5.2631579,0.7287000
168,2,6,2,1,33.3333333,0.7788000
169,2,7,2,1,28.5714286,0.7515000
170,2,8,2,1,25.0000000,0.7670000
171,2,8,3,1,25.0000000,0.7843000
172,2,8,3,2,25.0000000,0.7830000
173,2,9,2,1,22.2222222,0.7456000
174,2,9,3,1,22.2222222,0.7633000
175,2,9,3,2,22.2222222,0.7645000
176,2,10,2,1,20.0000000,0.7456000
177,2,10,3,1,20.0000000,0.7680000
178,2,10,3,2,20.0000000,0.7770000
179,2,10,4,1,20.0000000,0.7810000
180,2,10,4,2,20.0000000,0.7852000
181,2,10,4,3,20.0000000,0.7723000
182,2,11,2,1,18.1818182,0.7321000
183,2,11,3,1,18.1818182,0.7539000
184,2,11,3,2,18.1818182,0.7564000
185,2,11,4,1,18.1818182,0.7689000
186,2,11,4,2,18.1818182,0.7741000
187,2,11,4,3,18.1818182,0.7679000
188,2,12,2,1,16.6666667,0.7380000
189,2,12,3,1,16.6666667,0.7607000
190,2,12,3,2,16.6666667,0.7661000
191,2,12,4,1,16.6666667,0.7778000
192,2,12,4,2,16.6666667,0.7807000
193,2,12,4,3,16.6666667,0.7786000
194,2,12,5,1,16.6666667,0.7828000
195,2,12,5,2,16.6666667,0.7827000
196,2,12,5,3,16.6666667,0.7900000
197,2,12,5,4,16.6666667,0.7841000
198,2,13,2,1,15.3846154,0.7166000
199,2,13,3,1,15.3846154,0.7445000
200,2,13,3,2,15.3846154,0.7461000
201,2,13,4,1,15.3846154,0.7610000
202,2,13,4,2,15.3846154,0.7594000
203,2,13,4,3,15.3846154,0.7613000
204,2,13,5,1,15.3846154,0.7714000
205,2,13,5,2,15.3846154,0.7674000
206,2,13,5,3,15.3846154,0.7666000
207,2,13,5,4,15.3846154,0.7758000
208,2,14,2,1,14.2857143,0.7234000
209,2,14,3,1,14.2857143,0.7477000
210,2,14,3,2,14.2857143,0.7510000
211,2,14,4,1,14.2857143,0.7677000
212,2,14,4,2,14.2857143,0.7739000
213,2,14,4,3,14.2857143,0.7715000
214,2,14,5,1,14.2857143,0.7860000
215,2,14,5,2,14.2857143,0.7814000
216,2,14,5,3,14.2857143,0.7848000
217,2,14,5,4,14.2857143,0.7811000
218,2,14,6,1,14.2857143,0.7912000
219,2,14,6,2,14.2857143,0.7774000
220,2,14,6,3,14.2857143,0.7901000
221,2,14,6,4,14.2857143,0.7851000
222,2,14,6,5,14.2857143,0.7883000
223,2,15,2,1,13.3333333,0.6975000
224,2,15,3,1,13.3333333,0.7382000
225,2,15,3,2,13.3333333,0.7398000
226,2,15,4,1,13.3333333,0.7547000
227,2,15,4,2,13.3333333,0.7544000
228,2,15,4,3,13.3333333,0.7507000
229,2,15,5,1,13.3333333,0.7619000
230,2,15,5,2,13.3333333,0.7659000
231,2,15,5,3,13.3333333,0.7624000
232,2,15,5,4,13.3333333,0.7686000
233,2,15,6,1,13.3333333,0.7740000
234,2,15,6,2,13.3333333,0.7700000
235,2,15,6,3,13.3333333,0.7731000
236,2,15,6,4,13.3333333,0.7731000
237,2,15,6,5,13.3333333,0.7767000
238,2,16,2,1,12.5000000,0.7013000
239,2,16,3,1,12.5000000,0.7469000
240,2,16,3,2,12.5000000,0.7409000
241,2,16,4,1,12.5000000,0.7549000
242,2,16,4,2,12.5000000,0.7520000
243,2,16,4,3,12.5000000,0.7616000
244,2,16,5,1,12.5000000,0.7685000
245,2,16,5,2,12.5000000,0.7713000
246,2,16,5,3,12.5000000,0.7689000
247,2,16,5,4,12.5000000,0.7707000
248,2,16,6,1,12.5000000,0.7818000
249,2,16,6,2,12.5000000,0.7796000
250,2,16,6,3,12.5000000,0.7733000
251,2,16,6,4,12.5000000,0.7832000
252,2,16,6,5,12.5000000,0.7856000
253,2,16,7,1,12.5000000,0.7876000
254,2,16,7,2,12.5000000,0.7848000
255,2,16,7,3,12.5000000,0.7812000
256,2,16,7,4,12.5000000,0.7921000
257,2,16,7,5,12.5000000,0.7879000
258,2,16,7,6,12.5000000,0.7861000
259,2,17,2,1,11.7647059,0.6842000
260,2,17,3,1,11.7647059,0.7167000
261,2,17,3,2,11.7647059,0.7288000
262,2,17,4,1,11.7647059,0.7387000
263,2,17,4,2,11.7647059,0.7401000
264,2,17,4,3,11.7647059,0.7404000
265,2,17,5,1,11.7647059,0.7555000
266,2,17,5,2,11.7647059,0.7581000
267,2,17,5,3,11.7647059,0.7549000
268,2,17,5,4,11.7647059,0.7603000
269,2,17,6,1,11.7647059,0.7667000
270,2,17,6,2,11.7647059,0.7654000
271,2,17,6,3,11.7647059,0.7656000
272,2,17,6,4,11.7647059,0.7677000
273,2,17,6,5,11.7647059,0.7711000
274,2,17,7,1,11.7647059,0.7686000
275,2,17,7,2,11.7647059,0.7796000
276,2,17,7,3,11.7647059,0.7775000
277,2,17,7,4,11.7647059,0.7706000
278,2,17,7,5,11.7647059,0.7691000
279,2,17,7,6,11.7647059,0.7763000
280,2,18,2,1,11.1111111,0.6986000
281,2,18,3,1,11.1111111,0.7312000
282,2,18,3,2,11.1111111,0.7242000
283,2,18,4,1,11.1111111,0.7503000
