,Mafia,Citizen,Police,Mafia/Citizen,Mafia Win Rate
0,1,4,1,25.0000000,0.2740000
1,1,5,1,20.0000000,0.4320000
2,1,6,1,16.6666667,0.2528000
3,1,6,2,16.6666667,0.3796000
4,1,7,1,14.2857143,0.4073000
5,1,7,2,14.2857143,0.5143000
6,1,8,1,12.5000000,0.2238000
7,1,8,2,12.5000000,0.3438000
8,1,8,3,12.5000000,0.4167000
9,1,9,1,11.1111111,0.3747000
10,1,9,2,11.1111111,0.4940000
11,1,9,3,11.1111111,0.5606000
12,1,10,1,10.0000000,0.2104000
13,1,10,2,10.0000000,0.3049000
14,1,10,3,10.0000000,0.3913000
15,1,10,4,10.0000000,0.4474000
16,1,11,1,9.0909091,0.3376000
17,1,11,2,9.0909091,0.4609000
18,1,11,3,9.0909091,0.5304000
19,1,11,4,9.0909091,0.5909000
20,1,12,1,8.3333333,0.1888000
21,1,12,2,8.3333333,0.2877000
22,1,12,3,8.3333333,0.3633000
23,1,12,4,8.3333333,0.4223000
24,1,12,5,8.3333333,0.4814000
25,1,13,1,7.6923077,0.3141000
26,1,13,2,7.6923077,0.4284000
27,1,13,3,7.6923077,0.5176000
28,1,13,4,7.6923077,0.5718000
29,1,13,5,7.6923077,0.6117000
30,1,14,1,7.1428571,0.1831000
31,1,14,2,7.1428571,0.2712000
32,1,14,3,7.1428571,0.3455000
33,1,14,4,7.1428571,0.3944000
34,1,14,5,7.1428571,0.4402000
35,1,14,6,7.1428571,0.4749000
36,1,15,1,6.6666667,0.2881000
37,1,15,2,6.6666667,0.4105000
38,1,15,3,6.6666667,0.4843000
39,1,15,4,6.6666667,0.5518000
40,1,15,5,6.6666667,0.5852000
41,1,15,6,6.6666667,0.6224000
42,1,16,1,6.2500000,0.1635000
43,1,16,2,6.2500000,0.2555000
44,1,16,3,6.2500000,0.3166000
45,1,16,4,6.2500000,0.3771000
46,1,16,5,6.2500000,0.4167000
47,1,16,6,6.2500000,0.4620000
48,1,16,7,6.2500000,0.4965000
49,1,17,1,5.8823529,0.2719000
50,1,17,2,5.8823529,0.3877000
51,1,17,3,5.8823529,0.4675000
52,1,17,4,5.8823529,0.5269000
53,1,17,5,5.8823529,0.5792000
54,1,17,6,5.8823529,0.6057000
55,1,17,7,5.8823529,0.6348000
56,1,18,1,5.5555556,0.1497000
57,1,18,2,5.5555556,0.2296000
58,1,18,3,5.5555556,0.3012000
59,1,18,4,5.5555556,0.3468000
60,1,18,5,5.5555556,0.3909000
61,1,18,6,5.5555556,0.4308000
62,1,18,7,5.5555556,0.4666000
63,1,18,8,5.5555556,0.4958000
64,1,19,1,5.2631579,0.2555000
65,1,19,2,5.2631579,0.3655000
66,1,19,3,5.2631579,0.4452000
67,1,19,4,5.2631579,0.5084000
68,1,19,5,5.2631579,0.5492000
69,1,19,6,5.2631579,0.5909000
70,1,19,7,5.2631579,0.6114000
71,1,19,8,5.2631579,0.6319000
72,2,4,1,50.0000000,0.6578000
73,2,5,1,40.0000000,0.4753000
74,2,6,1,33.3333333,0.6286000
75,2,6,2,33.3333333,0.6640000
76,2,7,1,28.5714286,0.4453000
77,2,7,2,28.5714286,0.5502000
78,2,8,1,25.0000000,0.5849000
79,2,8,2,25.0000000,0.6549000
